Indicator Reference Number,Formal Title,Public Title,Constituent Questions,Method of Calculation,Theme2,Polarity (high is…),Notes
IQOL17001,"% respondents ""very satisfied"" or ""fairly satisfied"" with their local area as a place to live","
% satisfied with their local area",Q17001,"Number of respondents who select/tick ""very satisfied"" or ""fairly satisfied"" divided by total number of respondents, excluding ""don't know""",Community & Living,good,"Performance measure is estimate for deprived areas, but it is also for Exec Director Mtg (EDM), a city wide performance measure and to reduce the gap in most deprived 10% areas
2018:
Question wording amended to match ""Are You Being Served?""
Adverb ""Overall"" applied to main text of question
Answer option ""Don't know "" added"
IQOL17002,"% respondents who ""strongly agree"" or ""tend to agree"" they can influence decisions that affect their local area",% who agree they can influence decisions that affect their local area,Q17002,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Council & Democracy,good,
IQOL17004,"% respondents who ""strongly agree"" or ""tend to agree"", in their neighbourhood, people from different backgrounds get on well together",% who agree people from different backgrounds get on well together in their neighbourhood,Q17004,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Community & Living,good,Children's Centres 2020 data pack
IQOL17006,"% respondents who ""strongly agree"" or ""tend to agree"" they feel they belong to their neighbourhood",% who feel they belong to their neighbourhood,Q17006,"Number of respondents who select/tick ""strongly agree"" or ""tend to agree"" divided by total number of respondents",Community & Living,good,Children's Centres 2020 data pack
IQOL17007,"% respondents who think dog fouling is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think dog fouling is a problem locally,Q17007,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Community & Living,bad,
IQOL17008,"% respondents who think street litter is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think street litter is a problem locally,Q17008,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Sustainability & Environment,bad,
IQOL17009,"% respondents who think noise from residential neighbours is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think noise from residential neighbours is a problem,Q17009,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Community & Living,bad,
IQOL17011,"% respondents who think anti-social graffiti is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think anti-social graffiti is a problem locally,Q17011,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Community & Living,bad,
IQOL17012,"% respondents who think traffic congestion is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think traffic congestion is a problem locally,Q17012,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Transport,bad,
IQOL17013,"% respondents who think air quality and traffic pollution is a ""serious problem"" or ""problem - but not serious"" in their neighbourhood",% who think air quality and traffic pollution is a problem locally,Q17013,"Number of respondents who select/tick ""serious problem"" or ""problem - but not serious"" divided by total number of respondents excluding ""does not apply/don't know""",Sustainability & Environment,bad,"2020: Theme changed from ""Transport"""
IQOL17014,% respondents who meet friends and family at least every week,% who meet friends and family at least once a week,Q17014,"Number of respondents who select/tick ""most days"" or ""every week"" divided by total number of respondents",Health & Wellbeing,good,
IQOL17015,"% respondents who see friends and family as much as they want to or sometimes, it's OK",% who see friends and family as much as they want to,Q17015,"Number of respondents who select/tick ""I see friends and family as much as I want"" or ""I see them sometimes, it's OK"" divided by total number of respondents",Health & Wellbeing,good,
IQOL17016,% respondents who feel lonely because they don't see friends and family very much or at all,% who feel lonely because they don't see friends and family enough,Q17015,"Number of respondents who select/tick ""I feel lonely because I do not see them very much or at all"" divided by total number of respondents",Health & Wellbeing,bad,
IQOL17017,% respondents who help out their neighbours,% who help out their neighbours,Q17016,"Number of respondents who select/tick ""help out my neighbours"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,
IQOL17018,% respondents who help out or volunteer with a community group,% who volunteer with a community group,Q17016,"Number of respondents who select/tick ""community group"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,
IQOL17019,% respondents who help out or volunteer with a charity,% who volunteer with a charity,Q17016,"Number of respondents who select/tick ""charity"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,
IQOL17020,% respondents who help out or volunteer at a sports event/club,% who volunteer at a sports event/club,Q17016,"Number of respondents who select/tick ""sports event/club"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,Not used to plan any services by Public Health (Healthy Lifestyles and Place)
IQOL17021,% respondents who help out or volunteer with other community e.g faith/church,% who volunteer with other community e.g faith/church,Q17016,"Number of respondents who select/tick ""other community (e.g. faith/church)"" divided by number of respondents who select/tick any of the six answer options",Community & Living,good,
IQOL17022,% respondents who volunteer or help out in their community at least 3 times a year,% who volunteer or help out in their community at least 3 times a year,Q17017,"Number of respondents who select/tick ""most weeks"", ""every month"" or ""a few times a year"" divided by total number of respondents",Community & Living,good,
IQOL17023,% respondents who lack the time to get involved in their community as much as they would like,% who lack the time to get involved in their community,Q17018,"Number of respondents who select/tick ""lack of time"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17024,% respondents whose money problems stop them from getting involved in their community as much as they like,% whose money problems stop them from getting involved in their community,Q17018,"Number of respondents who select/tick ""money problems"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17025,% respondents whose poor health stops them from getting involved in their community as much as they like,% whose poor health stops them from getting involved in their community,Q17018,"Number of respondents who select/tick ""poor health"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17026,% respondents who lack the information to get involved in their community as much as they like,% who lack the information to get involved in their community,Q17018,"Number of respondents who select/tick ""lack of information"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,Children's Centres 2020 data pack
IQOL17027,% respondents for whom benefit rules stop them from getting involved in their community as much as they like,% for whom benefit rules stop them from getting involved in their community,Q17018,"Number of respondents who select/tick ""benefit rules"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
IQOL17028,% respondents for whom accessibility issues stop them from getting involved in their community as much as they like,% for whom accessibility issues stop them from getting involved in their community,Q17018,"Number of respondents who select/tick ""access (for disabled people)"" divided by number of respondents who select/tick any of the eight answer options",Community & Living,bad,
