Indicator Reference Number,Indicator,Theme,Ward Name,Year,Survey Question,Sample Size,Statistic,Standard Error,Lower Confidence Limit,Upper Confidence Limit
IQOL17001,% satisfied with their local area,Community & Living,.Bristol Average,2019,Q17001,4069,78.81351338,0.736759843,77.33350713,80.2215981
IQOL17001,% satisfied with their local area,Community & Living,.Bristol Average,2018,Q17001,3517,76.7314698,0.8180861,75.0897109,78.2963003
IQOL17001,% satisfied with their local area,Community & Living,.Bristol Average,2015,Q2,3987,81.7065131,0.707273291,80.27931178,83.05223183
IQOL17001,% satisfied with their local area,Community & Living,.Bristol Average,2021,Q17001,3861,74.2,0.819274453,72.6,75.8
IQOL17001,% satisfied with their local area,Community & Living,.Bristol Average,2020,Q17001,4313,79.79113485,0.719499181,78.34413836,81.16469104
IQOL17001,% satisfied with their local area,Community & Living,.Bristol Average,2017,Q17001,3283,76.43242127,0.892408229,74.63867131,78.13646609
IQOL17002,% who agree they can influence decisions that affect their local area,Council & Democracy,.Bristol Average,2018,Q17002,3501,17.59676191,0.727113261,16.21668216,19.06756077
IQOL17002,% who agree they can influence decisions that affect their local area,Council & Democracy,.Bristol Average,2015,Q7a,3979,25.27273525,0.810228826,23.71793117,26.89352934
IQOL17002,% who agree they can influence decisions that affect their local area,Council & Democracy,.Bristol Average,2019,Q17002,4052,18.07152459,0.67221363,16.79120787,19.4266725
IQOL17002,% who agree they can influence decisions that affect their local area,Council & Democracy,.Bristol Average,2017,Q17002,3277,25.49470893,0.907661973,23.7568474,27.31415484
IQOL17002,% who agree they can influence decisions that affect their local area,Council & Democracy,.Bristol Average,2021,Q17002,3839,20.6,0.803171461,19,22.2
IQOL17002,% who agree they can influence decisions that affect their local area,Council & Democracy,.Bristol Average,2020,Q17002,4385,21.12011198,0.749878879,19.68777268,22.62729853
IQOL17003,% who agree they can influence decisions that affect the public services they use,Council & Democracy,.Bristol Average,2015,Q7b,3965,17.7638716,0.678472139,16.47284256,19.13290573
IQOL17003,% who agree they can influence decisions that affect the public services they use,Council & Democracy,.Bristol Average,2020,Q17003,4351,16.62245461,0.674842363,15.34153839,17.98759529
IQOL17003,% who agree they can influence decisions that affect the public services they use,Council & Democracy,.Bristol Average,2017,Q17003,3263,18.16263449,0.825428496,16.60047042,19.83683816
IQOL17003,% who agree they can influence decisions that affect the public services they use,Council & Democracy,.Bristol Average,2018,Q17003,3480,14.03031146,0.679072176,12.7513896,15.41484224
IQOL17003,% who agree they can influence decisions that affect the public services they use,Council & Democracy,.Bristol Average,2019,Q17003,4041,14.64967748,0.622016676,13.47204836,15.91131718
IQOL17004,% who agree people from different backgrounds get on well together in their neighbourhood,Community & Living,.Bristol Average,2020,Q17004,4383,70.85756307,0.815335449,69.2341108,72.42946328
IQOL17004,% who agree people from different backgrounds get on well together in their neighbourhood,Community & Living,.Bristol Average,2021,Q17004,3843,69.7,0.868378976,68,71.4
IQOL17004,% who agree people from different backgrounds get on well together in their neighbourhood,Community & Living,.Bristol Average,2019,Q17004,4057,70.99165051,0.803569386,69.39174872,72.54101712
IQOL17004,% who agree people from different backgrounds get on well together in their neighbourhood,Community & Living,.Bristol Average,2017,Q17004,3266,66.76589141,0.951837724,64.87474511,68.60449279
IQOL17004,% who agree people from different backgrounds get on well together in their neighbourhood,Community & Living,.Bristol Average,2015,Q7c,3990,63.4128282,0.897651107,61.63621278,65.15368337
IQOL17004,% who agree people from different backgrounds get on well together in their neighbourhood,Community & Living,.Bristol Average,2018,Q17004,3502,68.13215227,0.910653236,66.32129949,69.88984318
IQOL17006,% who feel they belong to their neighbourhood,Community & Living,.Bristol Average,2015,Q7e,3986,62.41041107,0.882917256,60.66470356,64.12446036
IQOL17006,% who feel they belong to their neighbourhood,Community & Living,.Bristol Average,2021,Q17006,3843,63.1,0.892199711,61.3,64.8
IQOL17006,% who feel they belong to their neighbourhood,Community & Living,.Bristol Average,2020,Q17006,4387,62.84296197,0.846754587,61.16874527,64.48690289
IQOL17006,% who feel they belong to their neighbourhood,Community & Living,.Bristol Average,2018,Q17006,3501,59.39133347,0.920880789,57.57448581,61.18283273
IQOL17006,% who feel they belong to their neighbourhood,Community & Living,.Bristol Average,2019,Q17006,4058,62.00879721,0.882256286,60.26498639,63.72214741
IQOL17006,% who feel they belong to their neighbourhood,Community & Living,.Bristol Average,2017,Q17006,3260,59.72267403,1.049377417,57.64992557,61.76126449
IQOL17007,% who think dog fouling is a problem locally,Community & Living,.Bristol Average,2019,Q17007,3946,65.49071166,0.87347803,63.7592043,67.18207264
IQOL17007,% who think dog fouling is a problem locally,Community & Living,.Bristol Average,2017,Q17007,3242,65.41041503,0.959852539,63.50579565,67.26686801
IQOL17007,% who think dog fouling is a problem locally,Community & Living,.Bristol Average,2021,Q17007,3684,64.7,0.878854661,63,66.4
IQOL17007,% who think dog fouling is a problem locally,Community & Living,.Bristol Average,2020,Q17007,4221,67.22792014,0.850686562,65.53936523,68.87303205
IQOL17007,% who think dog fouling is a problem locally,Community & Living,.Bristol Average,2018,Q17007,3409,65.80364934,0.917706179,63.98291424,67.57898149
IQOL17007,% who think dog fouling is a problem locally,Community & Living,.Bristol Average,2015,Q4a,3907,63.35505426,0.87413218,61.62549417,65.05087048
IQOL17008,% who think street litter is a problem locally,Sustainability & Environment,.Bristol Average,2017,Q17008,3258,79.67786924,0.815568498,78.0324841,81.22965864
IQOL17008,% who think street litter is a problem locally,Sustainability & Environment,.Bristol Average,2020,Q17008,4330,82.42966768,0.701048284,81.01309184,83.76173967
IQOL17008,% who think street litter is a problem locally,Sustainability & Environment,.Bristol Average,2021,Q17008,3778,81.7,0.728948605,80.3,83.1
IQOL17008,% who think street litter is a problem locally,Sustainability & Environment,.Bristol Average,2018,Q17008,3475,82.35589334,0.747642123,80.84241329,83.77380488
IQOL17008,% who think street litter is a problem locally,Sustainability & Environment,.Bristol Average,2019,Q17008,4020,81.05500657,0.736515093,79.56915293,82.45662509
IQOL17008,% who think street litter is a problem locally,Sustainability & Environment,.Bristol Average,2015,Q4b,3973,73.84639751,0.811789831,72.22434074,75.40598483
IQOL17009,% who think noise from residential neighbours is a problem,Community & Living,.Bristol Average,2020,Q17009,4227,38.22376901,0.861504276,36.5500284,39.92592603
IQOL17009,% who think noise from residential neighbours is a problem,Community & Living,.Bristol Average,2018,Q17009,3410,32.86364104,0.938358701,31.05139459,34.72838162
IQOL17009,% who think noise from residential neighbours is a problem,Community & Living,.Bristol Average,2019,Q17009,3942,32.56853822,0.871510263,30.88406563,34.29929175
IQOL17009,% who think noise from residential neighbours is a problem,Community & Living,.Bristol Average,2015,Q4c,3924,32.30405663,0.881469642,30.60107011,34.05530945
IQOL17009,% who think noise from residential neighbours is a problem,Community & Living,.Bristol Average,2017,Q17009,3259,36.76278404,0.993684378,34.83763781,38.73108219
IQOL17009,% who think noise from residential neighbours is a problem,Community & Living,.Bristol Average,2021,Q17009,3711,38.9,0.927777642,37,40.7
IQOL17010,"% who think noise from pubs, clubs and entertainment is a problem locally",Community & Living,.Bristol Average,2015,Q4d,3567,14.63694752,0.676113479,13.36082388,16.01243014
IQOL17010,"% who think noise from pubs, clubs and entertainment is a problem locally",Community & Living,.Bristol Average,2018,Q17010,3174,15.11945835,0.720153085,13.76142607,16.58573217
IQOL17010,"% who think noise from pubs, clubs and entertainment is a problem locally",Community & Living,.Bristol Average,2020,Q17010,3770,13.35108176,0.628271569,12.16698008,14.63122498
IQOL17010,"% who think noise from pubs, clubs and entertainment is a problem locally",Community & Living,.Bristol Average,2019,Q17010,3645,15.79166904,0.680113411,14.50388497,17.17083009
IQOL17010,"% who think noise from pubs, clubs and entertainment is a problem locally",Community & Living,.Bristol Average,2017,Q17010,2992,15.30195132,0.7750728,13.84378272,16.88361101
IQOL17011,% who think anti-social graffiti is a problem locally,Community & Living,.Bristol Average,2020,Q17011,4060,43.75106305,0.893097913,42.00906847,45.50860604
IQOL17011,% who think anti-social graffiti is a problem locally,Community & Living,.Bristol Average,2017,Q17011,3172,32.64020916,0.974374581,30.75996918,34.57798486
IQOL17011,% who think anti-social graffiti is a problem locally,Community & Living,.Bristol Average,2015,Q4e,3761,30.32696589,0.845799235,28.69522195,32.00984413
IQOL17011,% who think anti-social graffiti is a problem locally,Community & Living,.Bristol Average,2021,Q17011,3626,45.6,0.972310373,43.7,47.5
IQOL17011,% who think anti-social graffiti is a problem locally,Community & Living,.Bristol Average,2019,Q17011,3887,47.26524161,0.914862519,45.47640187,49.0611309
IQOL17011,% who think anti-social graffiti is a problem locally,Community & Living,.Bristol Average,2018,Q17011,3346,46.30573969,0.984482663,44.38263235,48.23990029
IQOL17012,% who think traffic congestion is a problem locally,Transport,.Bristol Average,2020,Q17012,4185,70.36940433,0.832054782,68.71303245,71.97385228
IQOL17012,% who think traffic congestion is a problem locally,Transport,.Bristol Average,2017,Q17012,3236,74.34760298,0.944317256,72.45347212,76.15435624
IQOL17012,% who think traffic congestion is a problem locally,Transport,.Bristol Average,2019,Q17012,3975,76.99800727,0.775689894,75.44256173,78.48303134
IQOL17012,% who think traffic congestion is a problem locally,Transport,.Bristol Average,2021,Q17012,3724,73.6,0.815215153,72,75.2
IQOL17012,% who think traffic congestion is a problem locally,Transport,.Bristol Average,2018,Q17012,3422,80.24628846,0.772780189,78.68778277,81.71730498
IQOL17013,% who think air quality and traffic pollution is a problem locally,Sustainability & Environment,.Bristol Average,2021,Q17013,3661,74.7,0.816927292,73.1,76.3
IQOL17013,% who think air quality and traffic pollution is a problem locally,Sustainability & Environment,.Bristol Average,2018,Q17013,3373,76.52175386,0.819917772,74.87678739,78.09053004
IQOL17013,% who think air quality and traffic pollution is a problem locally,Sustainability & Environment,.Bristol Average,2017,Q17013,3158,72.42684775,0.953282056,70.51979079,74.2555753
IQOL17013,% who think air quality and traffic pollution is a problem locally,Sustainability & Environment,.Bristol Average,2020,Q17013,4130,70.50673885,0.820335733,68.8738026,72.088725
IQOL17013,% who think air quality and traffic pollution is a problem locally,Sustainability & Environment,.Bristol Average,2019,Q17013,3883,76.95385244,0.78015276,75.38936407,78.44731927
IQOL17014,% who meet friends and family at least once a week,Health & Wellbeing,.Bristol Average,2018,Q17014,3503,80.29806518,0.789224312,78.70526781,81.79927571
IQOL17014,% who meet friends and family at least once a week,Health & Wellbeing,.Bristol Average,2017,Q17014,3268,80.67872433,0.855362781,78.94673538,82.30017294
IQOL17014,% who meet friends and family at least once a week,Health & Wellbeing,.Bristol Average,2015,Q9,4032,83.38741343,0.69455425,81.98107666,84.70446737
IQOL17014,% who meet friends and family at least once a week,Health & Wellbeing,.Bristol Average,2020,Q17014,4399,71.40687339,0.846331602,69.71964727,73.03644563
IQOL17014,% who meet friends and family at least once a week,Health & Wellbeing,.Bristol Average,2019,Q17014,4065,80.03222802,0.760292842,78.5002618,81.48078616
IQOL17014,% who meet friends and family at least once a week,Health & Wellbeing,.Bristol Average,2021,Q17014,3852,73.4,0.861419935,71.7,75
IQOL17015,% who see friends and family as much as they want to,Health & Wellbeing,.Bristol Average,2021,Q17015,3862,77,0.828499774,75.3,78.6
IQOL17015,% who see friends and family as much as they want to,Health & Wellbeing,.Bristol Average,2018,Q17015,3512,80.41577676,0.798139221,78.80405479,81.93304199
IQOL17015,% who see friends and family as much as they want to,Health & Wellbeing,.Bristol Average,2017,Q17015,3236,80.07966527,0.837696381,78.38686595,81.67088208
IQOL17015,% who see friends and family as much as they want to,Health & Wellbeing,.Bristol Average,2020,Q17015,4386,73.22103879,0.847508286,71.52762207,74.84915289
IQOL17015,% who see friends and family as much as they want to,Health & Wellbeing,.Bristol Average,2015,Q10,4030,81.51170821,0.741561302,80.01388726,82.9212376
IQOL17015,% who see friends and family as much as they want to,Health & Wellbeing,.Bristol Average,2019,Q17015,4061,82.10008556,0.744927858,80.59320893,83.51389227
IQOL17016,% who feel lonely because they don't see friends and family enough,Health & Wellbeing,.Bristol Average,2021,Q17015,3862,5,0.41490784,4.2,5.9
IQOL17016,% who feel lonely because they don't see friends and family enough,Health & Wellbeing,.Bristol Average,2018,Q17015,3512,4.050151293,0.382301712,3.363777478,4.86952134
IQOL17016,% who feel lonely because they don't see friends and family enough,Health & Wellbeing,.Bristol Average,2019,Q17015,4061,3.364071125,0.326737143,2.779280646,4.066760751
IQOL17016,% who feel lonely because they don't see friends and family enough,Health & Wellbeing,.Bristol Average,2017,Q17015,3236,3.651965036,0.39840485,2.946543433,4.518406676
IQOL17016,% who feel lonely because they don't see friends and family enough,Health & Wellbeing,.Bristol Average,2020,Q17015,4386,5.353650936,0.446126023,4.543659038,6.29851127
IQOL17017,% who help out their neighbours,Community & Living,.Bristol Average,2018,Q17016,3505,24.53130792,0.802911041,22.99185705,26.13884774
IQOL17017,% who help out their neighbours,Community & Living,.Bristol Average,2020,Q17016,4369,29.3946565,0.807527469,27.83713242,31.00188752
IQOL17017,% who help out their neighbours,Community & Living,.Bristol Average,2021,Q17016,3815,28.1,0.848057084,26.5,29.8
IQOL17017,% who help out their neighbours,Community & Living,.Bristol Average,2015,Q12aiii,3977,27.87651041,0.816313747,26.30503158,29.5042844
IQOL17017,% who help out their neighbours,Community & Living,.Bristol Average,2017,Q17016,3260,32.74391951,0.997571935,30.81942721,34.72825875
IQOL17017,% who help out their neighbours,Community & Living,.Bristol Average,2019,Q17016,4023,25.4723473,0.79556183,23.94468201,27.06279638
IQOL17018,% who volunteer with a community group,Community & Living,.Bristol Average,2019,Q17016,4023,11.18952945,0.569492919,10.12102582,12.35533099
IQOL17018,% who volunteer with a community group,Community & Living,.Bristol Average,2018,Q17016,3505,11.65457665,0.623332158,10.48732446,12.93297482
IQOL17018,% who volunteer with a community group,Community & Living,.Bristol Average,2020,Q17016,4369,9.479318699,0.494088519,8.554194011,10.49301397
IQOL17018,% who volunteer with a community group,Community & Living,.Bristol Average,2021,Q17016,3815,9.9,0.568891322,8.8,11
IQOL17018,% who volunteer with a community group,Community & Living,.Bristol Average,2017,Q17016,3260,20.37863273,0.764952612,18.92027973,21.91900557
IQOL17018,% who volunteer with a community group,Community & Living,.Bristol Average,2015,Q12aii,3977,11.58707856,0.622277614,10.42206935,12.8636148
IQOL17019,% who volunteer with a charity,Community & Living,.Bristol Average,2020,Q17016,4369,13.46851813,0.631448401,12.27817612,14.75485067
IQOL17019,% who volunteer with a charity,Community & Living,.Bristol Average,2015,Q12ai,3977,15.19966272,0.65026004,13.96852061,16.5184796
IQOL17019,% who volunteer with a charity,Community & Living,.Bristol Average,2019,Q17016,4023,15.39959715,0.670083616,14.13153771,16.75923481
IQOL17019,% who volunteer with a charity,Community & Living,.Bristol Average,2018,Q17016,3505,14.92228847,0.714956207,13.57452539,16.37850666
IQOL17019,% who volunteer with a charity,Community & Living,.Bristol Average,2017,Q17016,3260,19.93402392,0.811512988,18.39096972,21.57232186
IQOL17019,% who volunteer with a charity,Community & Living,.Bristol Average,2021,Q17016,3815,13.8,0.662659308,12.6,15.2
IQOL17020,% who volunteer at a sports event/club,Community & Living,.Bristol Average,2019,Q17016,4023,9.099487337,0.522598187,8.125757209,10.17697679
IQOL17020,% who volunteer at a sports event/club,Community & Living,.Bristol Average,2017,Q17016,3260,9.552184485,0.624427322,8.396458598,10.84815066
IQOL17020,% who volunteer at a sports event/club,Community & Living,.Bristol Average,2021,Q17016,3815,8,0.565112371,6.9,9.1
IQOL17020,% who volunteer at a sports event/club,Community & Living,.Bristol Average,2020,Q17016,4369,8.292078273,0.551932279,7.272503422,9.440041394
